ID_Analysis	Group	CAT_sum	ANI_sum	Ca_epm	Mg_epm	NaK_epm	HCO3CO3_epm	SO4_epm	CL_epm
768	2	15.18	14.417	23.011	36.318	40.672	13.526	6.062	80.412
769	2	5.341	5.313	60.738	27.729	11.533	69.415	21.551	9.034
770	2	7.96	7.873	52.663	43.417	3.92	69.948	25.391	4.662
771	2	7.152	6.507	52.335	40.268	7.397	74.305	19.195	6.501
772	2	5.745	5.136	81.654	10.026	8.32	74.026	16.628	9.346
773	2	8.07	8.254	51.945	17.336	30.719	64.817	11.606	23.576
774	2	10.204	8.971	47.442	36.29	16.268	31.245	50.83	17.924
775	2	7.079	6.562	45.119	39.525	15.355	36.468	45.047	18.485
776	2	9.015	8.094	39.856	16.428	43.716	64.789	4.893	30.319
777	2	5.808	5.463	68.733	24.087	7.18	84.606	6.096	9.299
778	2	20.182	19.393	39.069	46.071	14.86	25.437	62.053	12.51
779	2	13.88	11.908	50.331	34.388	15.281	26.15	54.896	18.954
780	2	3.763	3.701	43.768	39.357	16.875	74.385	7.322	18.292
781	2	14.577	14.412	33.546	38.952	27.502	67.09	4.337	28.573
782	2	17.663	16.799	50.008	14.443	35.549	48.681	11.524	39.794
783	2	5.591	5.517	63.37	20.605	16.026	74.57	9.063	16.368
784	2	7.481	7.03	76.714	5.494	17.792	64.808	13.926	21.266
785	2	6.846	6.817	57.581	20.435	21.984	81.253	5.501	13.246
786	2	0.362	0.318	41.436	22.652	35.912	20.755	26.101	53.145
787	2	1.053	0.681	28.395	31.244	40.361	43.319	15.272	41.41
